day,mismatch_rows,inflow_mismatch_rows,outflow_mismatch_rows,change_mismatch_rows,total_abs_inflow_diff,total_abs_outflow_diff,total_abs_change_diff
2025-03-09,1,1,1,0,50074.65,50074.65,0
2024-03-10,1,1,1,0,33273.82,33273.82,0
2025-03-16,1,1,1,0,13662.4,13662.4,0
2024-03-17,1,1,1,0,5880,5880,0
2025-03-23,1,1,1,0,178188.06,178188.06,0
2024-03-24,1,1,1,0,117742.61,117742.61,0
2025-03-30,1,1,1,0,92628.45,92628.45,0
2025-05-04,1,1,1,0,12130.1,12130.1,0
2025-05-11,1,1,1,0,549.12,549.12,0
2024-05-12,1,1,1,0,8392.59,8392.59,0
2025-05-18,1,1,1,0,3260.54,3260.54,0
2024-05-19,1,1,1,0,199412.83,199412.83,0
2024-05-26,1,1,1,0,3215.91,3215.91,0
2025-11-02,1,1,1,0,20136.5,20136.5,0
2024-11-03,1,1,1,0,47850,47850,0
2025-11-09,1,1,1,0,1509.62,1509.62,0
2024-11-10,1,1,1,0,5247.15,5247.15,0
2025-11-16,1,1,1,0,598527.23,598527.23,0
2024-11-17,1,1,1,0,28922.11,28922.11,0
2025-11-23,1,1,1,0,1400,1400,0
2024-11-24,1,1,1,0,15744.67,15744.67,0
2025-10-05,1,1,1,0,137016.55,137016.55,0
2024-10-06,1,1,1,0,30870.76,30870.76,0
2025-10-12,1,1,1,0,14858.86,14858.86,0
2025-10-19,1,1,1,0,82030.95,82030.95,0
2024-10-20,1,1,1,0,250,250,0
2025-10-26,1,1,1,0,1400,1400,0
2024-10-27,1,1,1,0,242468.86,242468.86,0
2025-08-31,1,1,1,0,324848.83,324848.83,0
2024-09-01,1,1,1,0,65540.1,65540.1,0
2025-09-07,1,1,1,0,116194.12,116194.12,0
2024-09-08,1,1,1,0,49557.86,49557.86,0
2025-09-14,1,1,1,0,22218.26,22218.26,0
2024-09-15,1,1,1,0,536938.91,536938.91,0
2025-09-21,1,1,1,0,42920.34,42920.34,0
2024-09-22,1,1,1,0,90000,90000,0
2025-09-28,1,1,1,0,24758.8,24758.8,0
2024-09-29,1,1,1,0,63083.76,63083.76,0
2025-04-04,1,1,1,0,436.11,436.11,0
2025-04-11,1,1,1,0,551.16,551.16,0
2025-04-25,1,1,1,0,1900,1900,0
2024-04-26,1,1,1,0,109.38,109.38,0
2025-08-08,1,1,1,0,544,544,0
2024-08-23,1,1,1,0,3198,3198,0
2025-12-19,1,1,1,0,2655.6,2655.6,0
2025-12-26,1,1,1,0,323.51,323.51,0
2025-01-31,1,1,1,0,2210,2210,0
2026-02-13,1,1,1,0,8000,8000,0
2026-02-20,1,1,1,0,3000,3000,0
2026-02-27,1,1,1,0,10837.4,10837.4,0
2025-01-03,1,1,1,0,2970,2970,0
2025-01-10,1,1,1,0,800,800,0
2025-01-24,1,1,1,0,14165,14165,0
2026-01-30,1,1,1,0,300,300,0
2025-07-11,1,1,1,0,17130.93,17130.93,0
2024-07-12,1,1,1,0,6100.01,6100.01,0
2024-07-26,1,1,1,0,13580,13580,0
2024-06-14,1,1,1,0,250,250,0
2024-06-28,1,1,1,0,170,170,0
2026-03-06,1,1,1,0,13150.24,13150.24,0
2025-03-07,1,1,1,0,622,622,0
2024-03-22,1,1,1,0,2159,2159,0
2025-03-28,1,1,1,0,498.64,498.64,0
2025-05-09,1,1,1,0,1395.79,1395.79,0
2025-05-16,1,1,1,0,423.94,423.94,0
2025-05-23,1,1,1,0,3590.98,3590.98,0
2025-05-30,1,1,1,0,4216,4216,0
2025-10-31,1,1,1,0,750,750,0
2025-11-07,1,1,1,0,500,500,0
2025-10-17,1,1,1,0,200,200,0
2025-09-12,1,1,1,0,62180,62180,0
2025-09-19,1,1,1,0,1000,1000,0
2025-04-12,1,1,1,0,400,400,0
2024-08-24,1,1,1,0,259.89,259.89,0
2024-11-30,1,1,1,0,26.58,26.58,0
2024-12-07,1,1,1,0,5083.97,5083.97,0
2025-12-20,1,1,1,0,865.3,865.3,0
2024-12-28,1,1,1,0,1000,1000,0
2024-02-17,1,1,1,0,2610,2610,0
2026-02-21,1,1,1,0,0.37,0.37,0
2025-01-25,1,1,1,0,200,200,0
2025-07-12,1,1,1,0,200,200,0
2026-02-28,1,1,1,0,274.99,274.99,0
2026-03-07,1,1,1,0,250,250,0
2026-03-14,1,0,1,1,0,792.15,792.15
2024-03-23,1,1,1,0,40.08,40.08,0
2025-03-29,1,1,1,0,1219.3,1219.3,0
2024-05-04,1,1,1,0,322.02,322.02,0
2025-09-13,1,1,1,0,700,700,0
2024-09-14,1,1,1,0,200,200,0
2025-04-02,1,1,1,0,298899.13,298899.13,0
2024-04-03,1,1,1,0,156226.25,156226.25,0
2025-04-09,1,1,1,0,239513.24,239513.24,0
2024-04-10,1,1,1,0,189133.88,189133.88,0
2025-04-16,1,1,1,0,97703.01,97703.01,0
2025-04-23,1,1,1,0,55809.4,55809.4,0
2024-04-24,1,1,1,0,50000,50000,0
2024-07-31,1,1,1,0,171344.54,171344.54,0
2025-08-06,1,1,1,0,95115.67,95115.67,0
2024-08-07,1,1,1,0,84972.82,84972.82,0
2025-08-13,1,1,1,0,50473.84,50473.84,0
2024-08-14,1,1,1,0,250,250,0
2025-08-20,1,1,1,0,33725,33725,0
2024-08-21,1,1,1,0,95.05,95.05,0
2024-08-28,1,1,1,0,147949.76,147949.76,0
2025-12-03,1,1,1,0,1580.2,1580.2,0
2024-12-04,1,1,1,0,55383.28,55383.28,0
2025-12-10,1,1,1,0,111181.31,111181.31,0
2024-12-11,1,1,1,0,126978.44,126978.44,0
2025-12-17,1,1,1,0,61929.08,61929.08,0
2024-12-18,1,1,1,0,3040.04,3040.04,0
2025-12-24,1,1,1,0,51484.29,51484.29,0
2024-12-25,1,1,1,0,123302.92,123302.92,0
2024-01-31,1,1,1,0,29244.07,29244.07,0
2026-02-04,1,1,1,0,1037281.35,1037281.35,0
2025-02-05,1,1,1,0,6174.61,6174.61,0
2024-02-07,1,1,1,0,382377.96,382377.96,0
2026-02-11,1,1,1,0,17444.55,17444.55,0
2025-02-12,1,1,1,0,31470.4,31470.4,0
2024-02-14,1,1,1,0,32162.1,32162.1,0
2026-02-18,1,1,1,0,2419.16,2419.16,0
2025-02-19,1,1,1,0,1768.29,1768.29,0
2024-02-21,1,1,1,0,6203.47,6203.47,0
2026-02-25,1,1,1,0,130975.03,130975.03,0
2024-02-28,1,1,1,0,39603.1,39603.1,0
2024-01-03,1,1,1,0,13988.9,13988.9,0
